iso3c,setting,location_contact,age_contactor,age_cotactee,mean_number_of_contacts
IDN,urban,all,50 to 54,30 to 34,1.27933
IDN,urban,all,55 to 59,30 to 34,1.47733
IDN,urban,all,60 to 64,30 to 34,1.20916
IDN,urban,all,65 to 69,30 to 34,1.00988
IDN,urban,all,70 to 74,30 to 34,0.59924
IDN,urban,all,75+,30 to 34,0.52134
IDN,urban,all,0 to 4,35 to 39,1.12303
IDN,urban,all,5 to 9,35 to 39,1.27217
IDN,urban,all,10 to 14,35 to 39,1.18964
IDN,urban,all,15 to 19,35 to 39,0.95343
IDN,urban,all,20 to 24,35 to 39,0.86023
IDN,urban,all,25 to 29,35 to 39,1.33131
IDN,urban,all,30 to 34,35 to 39,1.77815
IDN,urban,all,35 to 39,35 to 39,2.26298
IDN,urban,all,40 to 44,35 to 39,1.83595
IDN,urban,all,45 to 49,35 to 39,1.47319
IDN,urban,all,50 to 54,35 to 39,1.23818
IDN,urban,all,55 to 59,35 to 39,1.17043
IDN,urban,all,60 to 64,35 to 39,1.34245
IDN,urban,all,65 to 69,35 to 39,1.05248
IDN,urban,all,70 to 74,35 to 39,0.98278
IDN,urban,all,75+,35 to 39,0.68118
IDN,urban,all,0 to 4,40 to 44,0.73888
IDN,urban,all,5 to 9,40 to 44,1.09614
IDN,urban,all,10 to 14,40 to 44,1.26083
IDN,urban,all,15 to 19,40 to 44,1.02963
IDN,urban,all,20 to 24,40 to 44,0.81362
IDN,urban,all,25 to 29,40 to 44,1.05216
IDN,urban,all,30 to 34,40 to 44,1.25761
IDN,urban,all,35 to 39,40 to 44,1.84517
IDN,urban,all,40 to 44,40 to 44,2.04714
IDN,urban,all,45 to 49,40 to 44,1.53127
IDN,urban,all,50 to 54,40 to 44,1.5287
IDN,urban,all,55 to 59,40 to 44,1.17185
IDN,urban,all,60 to 64,40 to 44,1.0276
IDN,urban,all,65 to 69,40 to 44,1.02573
IDN,urban,all,70 to 74,40 to 44,1.12916
IDN,urban,all,75+,40 to 44,0.78548
IDN,urban,all,0 to 4,45 to 49,0.47781
IDN,urban,all,5 to 9,45 to 49,0.58698
IDN,urban,all,10 to 14,45 to 49,0.81979
IDN,urban,all,15 to 19,45 to 49,0.9436
IDN,urban,all,20 to 24,45 to 49,0.91996
IDN,urban,all,25 to 29,45 to 49,0.90121
IDN,urban,all,30 to 34,45 to 49,0.91293
IDN,urban,all,35 to 39,45 to 49,1.11975
IDN,urban,all,40 to 44,45 to 49,1.41053
IDN,urban,all,45 to 49,45 to 49,1.43026
IDN,urban,all,50 to 54,45 to 49,1.53305
IDN,urban,all,55 to 59,45 to 49,0.91851
IDN,urban,all,60 to 64,45 to 49,0.76271
IDN,urban,all,65 to 69,45 to 49,0.58007
IDN,urban,all,70 to 74,45 to 49,0.83717
IDN,urban,all,75+,45 to 49,0.74124
IDN,urban,all,0 to 4,50 to 54,0.47425
IDN,urban,all,5 to 9,50 to 54,0.40873
IDN,urban,all,10 to 14,50 to 54,0.48954
IDN,urban,all,15 to 19,50 to 54,0.54004
IDN,urban,all,20 to 24,50 to 54,0.62149
IDN,urban,all,25 to 29,50 to 54,0.83709
IDN,urban,all,30 to 34,50 to 54,0.73568
IDN,urban,all,35 to 39,50 to 54,0.74156
IDN,urban,all,40 to 44,50 to 54,0.86239
IDN,urban,all,45 to 49,50 to 54,0.96494
IDN,urban,all,50 to 54,50 to 54,1.10713
IDN,urban,all,55 to 59,50 to 54,1.00895
IDN,urban,all,60 to 64,50 to 54,0.64285
IDN,urban,all,65 to 69,50 to 54,0.51598
IDN,urban,all,70 to 74,50 to 54,0.52503
IDN,urban,all,75+,50 to 54,0.56196
IDN,urban,all,0 to 4,55 to 59,0.43947
IDN,urban,all,5 to 9,55 to 59,0.36108
IDN,urban,all,10 to 14,55 to 59,0.31183
IDN,urban,all,15 to 19,55 to 59,0.30932
IDN,urban,all,20 to 24,55 to 59,0.40804
IDN,urban,all,25 to 29,55 to 59,0.5087
IDN,urban,all,30 to 34,55 to 59,0.58369
IDN,urban,all,35 to 39,55 to 59,0.49393
IDN,urban,all,40 to 44,55 to 59,0.40373
IDN,urban,all,45 to 49,55 to 59,0.4893
IDN,urban,all,50 to 54,55 to 59,0.7539
IDN,urban,all,55 to 59,55 to 59,0.80539
IDN,urban,all,60 to 64,55 to 59,0.74389
IDN,urban,all,65 to 69,55 to 59,0.51885
IDN,urban,all,70 to 74,55 to 59,0.42144
IDN,urban,all,75+,55 to 59,0.36042
IDN,urban,all,0 to 4,60 to 64,0.32195
IDN,urban,all,5 to 9,60 to 64,0.31858
IDN,urban,all,10 to 14,60 to 64,0.23916
IDN,urban,all,15 to 19,60 to 64,0.21942
IDN,urban,all,20 to 24,60 to 64,0.23708
IDN,urban,all,25 to 29,60 to 64,0.3249
IDN,urban,all,30 to 34,60 to 64,0.40363
IDN,urban,all,35 to 39,60 to 64,0.43648
IDN,urban,all,40 to 44,60 to 64,0.36722
IDN,urban,all,45 to 49,60 to 64,0.31271
IDN,urban,all,50 to 54,60 to 64,0.39706
IDN,urban,all,55 to 59,60 to 64,0.55586
IDN,urban,all,60 to 64,60 to 64,0.57956
IDN,urban,all,65 to 69,60 to 64,0.53484
IDN,urban,all,70 to 74,60 to 64,0.621
IDN,urban,all,75+,60 to 64,0.29542
IDN,urban,all,0 to 4,65 to 69,0.22684
IDN,urban,all,5 to 9,65 to 69,0.21921
IDN,urban,all,10 to 14,65 to 69,0.20215
IDN,urban,all,15 to 19,65 to 69,0.17253
IDN,urban,all,20 to 24,65 to 69,0.17161
IDN,urban,all,25 to 29,65 to 69,0.20025
IDN,urban,all,30 to 34,65 to 69,0.2272
IDN,urban,all,35 to 39,65 to 69,0.27648
IDN,urban,all,40 to 44,65 to 69,0.26861
IDN,urban,all,45 to 49,65 to 69,0.22183
IDN,urban,all,50 to 54,65 to 69,0.22219
IDN,urban,all,55 to 59,65 to 69,0.27547
IDN,urban,all,60 to 64,65 to 69,0.39382
IDN,urban,all,65 to 69,65 to 69,0.37816
IDN,urban,all,70 to 74,65 to 69,0.47327
IDN,urban,all,75+,65 to 69,0.3298
IDN,urban,all,0 to 4,70 to 74,0.17157
IDN,urban,all,5 to 9,70 to 74,0.16717
IDN,urban,all,10 to 14,70 to 74,0.1751
IDN,urban,all,15 to 19,70 to 74,0.15076
IDN,urban,all,20 to 24,70 to 74,0.16471
IDN,urban,all,25 to 29,70 to 74,0.1556
IDN,urban,all,30 to 34,70 to 74,0.16352
IDN,urban,all,35 to 39,70 to 74,0.19741
IDN,urban,all,40 to 44,70 to 74,0.19781
IDN,urban,all,45 to 49,70 to 74,0.19332
IDN,urban,all,50 to 54,70 to 74,0.18889
IDN,urban,all,55 to 59,70 to 74,0.18485
IDN,urban,all,60 to 64,70 to 74,0.24741
IDN,urban,all,65 to 69,70 to 74,0.25186
IDN,urban,all,70 to 74,70 to 74,0.3777
IDN,urban,all,75+,70 to 74,0.29134
IDN,urban,all,0 to 4,75+,0.14677
IDN,urban,all,5 to 9,75+,0.14704
IDN,urban,all,10 to 14,75+,0.15165
IDN,urban,all,15 to 19,75+,0.13878
IDN,urban,all,20 to 24,75+,0.14683
IDN,urban,all,25 to 29,75+,0.13837
IDN,urban,all,30 to 34,75+,0.14929
IDN,urban,all,35 to 39,75+,0.15153
IDN,urban,all,40 to 44,75+,0.1647
IDN,urban,all,45 to 49,75+,0.17185
IDN,urban,all,50 to 54,75+,0.17191
IDN,urban,all,55 to 59,75+,0.16088
IDN,urban,all,60 to 64,75+,0.17011
IDN,urban,all,65 to 69,75+,0.17671
IDN,urban,all,70 to 74,75+,0.23775
IDN,urban,all,75+,75+,0.20307
