rowname,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
beta,0.30508426272653216,9.395228061617194e-4,0.027603764711402724,0.26328599398629937,0.2866944086079908,0.30095124474363455,0.3189012048081202,0.3692092176938363,863.2209668183863,1.0001456132945996
theta1,0.19217983451377332,0.0018571712584823713,0.0712877267448475,0.0727165157935908,0.14025881098139473,0.18628582015926115,0.23808473080365813,0.3433827075845161,1473.4168226250756,1.000758539499872
theta2,0.03435540579625082,7.062305418456055e-4,0.031246783565744746,9.438877573325435e-4,0.010419720896931217,0.02557560381455304,0.049215325860395516,0.11459186421759675,1957.571564871852,0.9999060727470125
theta3,0.8764813383111835,0.0031614807704348096,0.10891118593035876,0.5995073141370937,0.822951014222227,0.9071300864203624,0.9603384106972963,0.9960461566555939,1186.7626919290442,0.9999166944428007
p1,0.3216337668615383,0.0010357327151024724,0.06165335614342589,0.21496681681794033,0.27732944285883143,0.31648268593949175,0.36132576931916577,0.4543919117599027,3543.382670414307,0.9997981848549549
p2,0.8582767011458418,8.3400177800334e-4,0.05201702794493807,0.7403110658701233,0.8271208089269504,0.8625638088402353,0.8955170801950718,0.9450697950842956,3890.067312196732,1.0000209685345738
kappa,0.4039082588939918,0.003935157740058113,0.12318046486103641,0.24001431571998164,0.32361050703756183,0.3772867298782664,0.45192197835202486,0.7530670526315512,979.8495242629841,1.0009892261801145
sigmaE_1,0.06234205932130075,0.0019366912264994283,0.07008380984265608,0.0011396058823681299,0.015470999966997308,0.03998244319617117,0.0831489576198612,0.2637742703898579,1309.527535819877,1.0007254101097114
sigmaE_2,0.653018731983023,0.004914274157093255,0.16916738282709798,0.35327356212734257,0.521427583789149,0.6470642693415759,0.7838043365674735,0.9684990550473511,1184.9894899212245,1.00039806058649
S0,0.39285091055774857,5.588535943249671e-4,0.0372916119996746,0.32246639838762825,0.36701119997855025,0.39158911404883445,0.41755809183918,0.4664437206512253,4452.728516528622,0.9997309030506792
R0,3.5403310367242367,0.005375092071982911,0.24967837507732643,3.100573047661123,3.3661437103933727,3.527308489414473,3.6913875134455267,4.083678660572485,2157.6949385141056,0.9997839785122843
